,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
191,0.0,0.0,0.0,0.84,0.0,0.0,0.05,0.19,0.02,0.65,0.0,0.0,0.0,0.11,0.0,0.0,0.14,real
192,0.0,0.0,0.0,0.97,0.0,0.0,0.08,0.14,0.05,0.51,0.0,0.0,0.0,0.15,0.0,0.0,0.19,real
193,0.0,0.0,0.0,1.04,0.0,0.0,0.05,0.1,0.05,0.43,0.0,0.0,0.0,0.14,0.0,0.0,0.1,real
194,0.15,0.12,0.0,1.08,0.0,0.0,0.09,0.11,0.05,0.31,0.0,0.0,0.0,0.1,0.0,0.0,0.05,real
195,0.15,0.12,0.0,1.13,0.0,0.0,0.05,0.12,0.02,0.33,0.0,0.0,0.0,0.12,0.0,0.0,0.05,real
196,0.15,0.12,0.0,1.0,0.0,0.0,0.03,0.16,0.0,0.32,0.0,0.0,0.0,0.1,0.0,0.0,0.07,real
197,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.17,0.0,0.35,0.0,0.0,0.0,0.2,0.0,0.04,0.07,real
198,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.24,0.0,0.35,0.0,0.0,0.0,0.24,0.0,0.04,0.02,real
199,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.22,0.0,0.37,0.0,0.06,0.0,0.36,0.0,0.17,0.0,real
200,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.18,0.0,0.44,0.0,0.23,0.0,0.4,0.0,0.42,0.0,real
201,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.18,0.0,0.47,0.0,0.31,0.0,0.44,0.0,0.83,0.0,real
202,0.0,0.0,0.03,0.2,0.0,0.0,0.0,0.21,0.0,0.5,0.0,0.33,0.0,0.41,0.0,1.08,0.0,real
203,0.0,0.0,0.21,0.21,0.0,0.0,0.0,0.49,0.0,0.42,0.0,0.16,0.0,0.29,0.0,1.11,0.0,real
204,0.0,0.0,0.28,0.2,0.0,0.0,0.0,0.77,0.0,0.47,0.0,0.08,0.0,0.16,0.2,1.06,0.0,real
205,0.09,0.0,0.45,0.14,0.0,0.0,0.06,1.08,0.0,0.63,0.0,0.0,0.0,0.03,0.55,1.0,0.04,real
206,0.19,0.0,0.44,0.03,0.01,0.0,0.1,1.22,0.0,0.68,0.0,0.0,0.0,0.0,0.87,0.92,0.04,real
207,0.25,0.0,0.5,0.03,0.01,0.0,0.1,1.32,0.0,0.5,0.05,0.0,0.0,0.0,0.98,0.8,0.04,real
208,0.16,0.0,0.39,0.0,0.01,0.0,0.03,1.22,0.0,0.19,0.05,0.12,0.0,0.0,0.83,0.62,0.0,real
209,0.06,0.0,0.24,0.0,0.0,0.0,0.0,0.98,0.01,0.03,0.05,0.29,0.0,0.0,0.58,0.56,0.0,real
210,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.58,0.04,0.0,0.0,0.47,0.0,0.05,0.26,0.54,0.0,real
211,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.41,0.06,0.0,0.04,0.44,0.0,0.05,0.09,0.6,0.0,real
212,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.23,0.07,0.0,0.05,0.57,0.0,0.27,0.02,0.63,0.0,real
213,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.21,0.07,0.0,0.05,0.61,0.0,0.31,0.02,0.58,0.0,real
214,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.08,0.06,0.07,0.01,0.77,0.06,0.35,0.0,0.58,0.0,real
215,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.05,0.17,0.0,0.75,0.06,0.22,0.0,0.54,0.0,real
216,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.07,0.26,0.0,0.81,0.06,0.18,0.0,0.6,0.0,real
217,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.1,0.35,0.0,0.72,0.0,0.15,0.0,0.49,0.0,real
218,0.03,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.14,0.42,0.0,0.59,0.0,0.08,0.0,0.44,0.0,real
219,0.09,0.02,0.0,0.08,0.0,0.0,0.0,0.01,0.13,0.57,0.0,0.48,0.0,0.02,0.0,0.21,0.0,real
220,0.22,0.04,0.02,0.03,0.0,0.0,0.0,0.09,0.14,0.54,0.0,0.48,0.0,0.01,0.0,0.23,0.0,real
221,0.36,0.12,0.05,0.03,0.0,0.0,0.0,0.32,0.16,0.45,0.1,0.5,0.0,0.0,0.0,0.18,0.0,real
222,0.3,0.1,0.05,0.01,0.0,0.0,0.0,0.51,0.18,0.21,0.19,0.55,0.0,0.0,0.0,0.19,0.0,real
223,0.17,0.08,0.08,0.0,0.0,0.0,0.0,0.62,0.16,0.12,0.21,0.5,0.0,0.0,0.02,0.18,0.06,real
224,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.67,0.1,0.03,0.2,0.49,0.0,0.0,0.11,0.4,0.06,real
225,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.78,0.04,0.03,0.17,0.48,0.0,0.0,0.18,0.6,0.06,real
226,0.0,0.0,0.15,0.02,0.0,0.0,0.0,0.94,0.0,0.02,0.25,0.44,0.0,0.0,0.23,0.62,0.0,real
227,0.0,0.0,0.22,0.02,0.0,0.0,0.0,1.11,0.0,0.2,0.23,0.34,0.0,0.0,0.24,0.35,0.0,real
228,0.03,0.0,0.28,0.02,0.0,0.0,0.0,1.25,0.06,0.38,0.21,0.15,0.0,0.0,0.24,0.13,0.0,real
229,0.06,0.0,0.36,0.0,0.0,0.0,0.0,1.31,0.09,0.39,0.14,0.13,0.0,0.0,0.19,0.02,0.0,real
230,0.06,0.0,0.29,0.0,0.0,0.0,0.0,1.33,0.13,0.35,0.11,0.09,0.0,0.0,0.16,0.0,0.0,real
231,0.04,0.0,0.26,0.0,0.0,0.0,0.0,1.34,0.1,0.4,0.09,0.09,0.02,0.0,0.15,0.0,0.0,real
232,0.05,0.0,0.3,0.0,0.0,0.0,0.0,1.43,0.13,0.59,0.16,0.04,0.02,0.0,0.18,0.0,0.0,real
233,0.1,0.07,0.3,0.0,0.0,0.0,0.0,1.35,0.13,0.46,0.12,0.08,0.02,0.0,0.17,0.0,0.0,real
234,0.1,0.07,0.33,0.0,0.0,0.0,0.0,1.34,0.13,0.41,0.11,0.1,0.01,0.0,0.16,0.0,0.0,real
235,0.05,0.07,0.27,0.0,0.0,0.0,0.0,1.32,0.11,0.45,0.05,0.14,0.02,0.0,0.14,0.0,0.0,real
236,0.06,0.01,0.34,0.0,0.0,0.0,0.0,1.42,0.13,0.65,0.11,0.07,0.02,0.0,0.15,0.0,0.0,real
237,0.13,0.09,0.35,0.0,0.0,0.0,0.0,1.34,0.13,0.51,0.1,0.1,0.02,0.0,0.16,0.0,0.0,real
238,0.13,0.09,0.33,0.0,0.0,0.0,0.0,1.32,0.14,0.41,0.06,0.08,0.0,0.0,0.16,0.0,0.0,real
239,0.07,0.07,0.28,0.0,0.0,0.0,0.0,1.28,0.12,0.47,0.03,0.13,0.03,0.0,0.15,0.0,0.0,real
240,0.05,0.0,0.33,0.0,0.0,0.0,0.0,1.38,0.14,0.67,0.11,0.07,0.03,0.0,0.14,0.0,0.0,real
241,0.11,0.07,0.35,0.0,0.0,0.0,0.0,1.31,0.14,0.52,0.11,0.11,0.03,0.0,0.16,0.0,0.0,real
242,0.11,0.07,0.32,0.0,0.0,0.0,0.0,1.3,0.14,0.41,0.07,0.07,0.0,0.0,0.17,0.0,0.0,real
243,0.07,0.07,0.27,0.0,0.0,0.0,0.0,1.28,0.13,0.46,0.02,0.12,0.04,0.0,0.16,0.0,0.0,real
244,0.07,0.03,0.33,0.0,0.0,0.0,0.0,1.36,0.14,0.68,0.1,0.06,0.04,0.0,0.15,0.0,0.0,real
245,0.15,0.1,0.35,0.0,0.0,0.0,0.0,1.3,0.13,0.53,0.1,0.11,0.04,0.0,0.16,0.0,0.0,real
246,0.15,0.1,0.34,0.0,0.0,0.0,0.0,1.29,0.15,0.41,0.08,0.08,0.0,0.0,0.18,0.0,0.0,real
247,0.08,0.07,0.29,0.0,0.0,0.0,0.0,1.28,0.13,0.48,0.02,0.13,0.04,0.0,0.19,0.0,0.0,real
248,0.05,0.0,0.33,0.0,0.0,0.0,0.0,1.36,0.15,0.68,0.11,0.08,0.04,0.0,0.19,0.0,0.0,real
249,0.1,0.0,0.29,0.0,0.0,0.0,0.0,1.35,0.14,0.55,0.13,0.09,0.04,0.0,0.24,0.02,0.0,real
250,0.12,0.0,0.28,0.0,0.0,0.0,0.0,1.38,0.12,0.41,0.12,0.05,0.05,0.0,0.26,0.02,0.0,real
251,0.15,0.0,0.23,0.0,0.0,0.0,0.0,1.39,0.09,0.36,0.09,0.04,0.05,0.0,0.34,0.02,0.0,real
252,0.15,0.02,0.23,0.0,0.0,0.0,0.0,1.37,0.1,0.35,0.07,0.05,0.05,0.0,0.31,0.05,0.0,real
253,0.14,0.02,0.22,0.0,0.0,0.0,0.0,1.38,0.1,0.35,0.06,0.08,0.05,0.0,0.27,0.05,0.0,real
254,0.11,0.02,0.25,0.0,0.0,0.0,0.0,1.41,0.09,0.43,0.07,0.11,0.08,0.0,0.18,0.05,0.0,real
255,0.16,0.0,0.34,0.0,0.0,0.0,0.0,1.51,0.06,0.57,0.11,0.06,0.09,0.0,0.14,0.0,0.0,real
256,0.19,0.0,0.29,0.0,0.0,0.0,0.0,1.42,0.07,0.45,0.12,0.04,0.04,0.0,0.24,0.01,0.0,real
257,0.15,0.0,0.25,0.0,0.0,0.0,0.0,1.39,0.09,0.34,0.07,0.02,0.05,0.0,0.26,0.01,0.0,real
258,0.15,0.0,0.22,0.0,0.0,0.0,0.0,1.38,0.09,0.35,0.07,0.02,0.05,0.0,0.36,0.01,0.0,real
259,0.14,0.01,0.21,0.0,0.0,0.0,0.0,1.36,0.1,0.35,0.05,0.04,0.05,0.0,0.33,0.05,0.0,real
260,0.14,0.01,0.2,0.0,0.0,0.0,0.0,1.38,0.1,0.35,0.04,0.07,0.04,0.0,0.28,0.05,0.0,real
261,0.11,0.01,0.24,0.0,0.0,0.0,0.0,1.41,0.09,0.41,0.07,0.09,0.07,0.0,0.17,0.05,0.0,real
262,0.16,0.01,0.34,0.0,0.0,0.0,0.0,1.5,0.06,0.54,0.11,0.06,0.07,0.0,0.11,0.0,0.0,real
263,0.2,0.01,0.31,0.0,0.0,0.0,0.0,1.42,0.07,0.43,0.13,0.05,0.03,0.0,0.2,0.02,0.0,real
264,0.16,0.01,0.26,0.0,0.0,0.0,0.0,1.39,0.08,0.34,0.07,0.03,0.03,0.0,0.24,0.02,0.0,real
265,0.15,0.0,0.23,0.0,0.0,0.0,0.0,1.37,0.09,0.35,0.07,0.02,0.03,0.0,0.35,0.02,0.0,real
266,0.14,0.02,0.21,0.0,0.0,0.0,0.0,1.34,0.1,0.35,0.05,0.05,0.03,0.0,0.33,0.05,0.0,real
267,0.14,0.02,0.22,0.0,0.0,0.0,0.0,1.37,0.1,0.35,0.06,0.06,0.05,0.0,0.3,0.05,0.0,real
268,0.1,0.02,0.26,0.0,0.0,0.0,0.0,1.4,0.09,0.42,0.08,0.08,0.08,0.0,0.19,0.05,0.0,real
269,0.14,0.0,0.35,0.0,0.0,0.0,0.0,1.51,0.06,0.56,0.12,0.04,0.09,0.0,0.15,0.0,0.01,real
270,0.18,0.0,0.3,0.0,0.0,0.0,0.0,1.42,0.08,0.44,0.13,0.04,0.05,0.0,0.23,0.01,0.01,real
271,0.15,0.0,0.26,0.0,0.0,0.0,0.0,1.4,0.09,0.33,0.08,0.01,0.04,0.0,0.26,0.01,0.01,real
272,0.15,0.0,0.22,0.0,0.0,0.0,0.0,1.37,0.09,0.34,0.07,0.01,0.04,0.0,0.35,0.01,0.0,real
273,0.15,0.02,0.22,0.0,0.0,0.0,0.0,1.34,0.09,0.35,0.05,0.04,0.04,0.0,0.33,0.05,0.0,real
274,0.14,0.02,0.22,0.0,0.0,0.0,0.0,1.37,0.1,0.34,0.04,0.06,0.04,0.0,0.29,0.05,0.0,real
275,0.1,0.02,0.25,0.0,0.0,0.0,0.0,1.41,0.09,0.42,0.07,0.09,0.08,0.0,0.19,0.05,0.0,real
276,0.15,0.0,0.34,0.0,0.0,0.0,0.0,1.51,0.06,0.56,0.1,0.04,0.09,0.0,0.15,0.0,0.0,real
277,0.19,0.0,0.28,0.0,0.0,0.0,0.0,1.42,0.07,0.45,0.11,0.04,0.05,0.0,0.23,0.01,0.0,real
278,0.15,0.0,0.25,0.0,0.0,0.0,0.0,1.39,0.09,0.33,0.05,0.02,0.04,0.0,0.25,0.01,0.0,real
279,0.15,0.0,0.21,0.0,0.0,0.0,0.0,1.37,0.09,0.34,0.06,0.02,0.03,0.0,0.35,0.01,0.0,real
280,0.15,0.03,0.21,0.0,0.0,0.0,0.0,1.35,0.09,0.35,0.04,0.05,0.03,0.0,0.33,0.04,0.0,real
281,0.14,0.03,0.19,0.0,0.0,0.0,0.0,1.37,0.1,0.36,0.05,0.08,0.04,0.0,0.3,0.04,0.0,real
282,0.11,0.03,0.24,0.0,0.0,0.0,0.0,1.41,0.09,0.43,0.07,0.11,0.08,0.0,0.2,0.04,0.0,real
283,0.15,0.01,0.34,0.0,0.0,0.0,0.0,1.5,0.06,0.56,0.11,0.06,0.09,0.0,0.15,0.0,0.01,real
284,0.2,0.01,0.3,0.0,0.0,0.0,0.0,1.43,0.08,0.45,0.12,0.04,0.04,0.0,0.24,0.01,0.01,real
285,0.16,0.01,0.26,0.0,0.0,0.0,0.0,1.4,0.09,0.34,0.06,0.01,0.04,0.0,0.25,0.01,0.01,real
286,0.16,0.0,0.23,0.0,0.0,0.0,0.0,1.39,0.09,0.35,0.07,0.01,0.03,0.0,0.35,0.01,0.0,real
287,0.15,0.02,0.22,0.0,0.0,0.0,0.0,1.36,0.1,0.35,0.04,0.04,0.03,0.0,0.32,0.05,0.0,real
288,0.14,0.02,0.21,0.0,0.0,0.0,0.0,1.38,0.1,0.35,0.05,0.06,0.04,0.0,0.29,0.05,0.0,real
289,0.1,0.02,0.25,0.0,0.0,0.0,0.0,1.41,0.09,0.42,0.07,0.09,0.07,0.0,0.18,0.05,0.0,real
290,0.15,0.01,0.35,0.0,0.0,0.0,0.0,1.5,0.06,0.55,0.1,0.06,0.07,0.0,0.12,0.0,0.0,real
291,0.19,0.01,0.31,0.0,0.0,0.0,0.0,1.42,0.07,0.44,0.12,0.06,0.03,0.0,0.21,0.01,0.0,real
292,0.16,0.01,0.26,0.0,0.0,0.0,0.0,1.39,0.09,0.34,0.06,0.03,0.03,0.0,0.24,0.01,0.0,real
293,0.16,0.0,0.22,0.0,0.0,0.0,0.0,1.38,0.09,0.35,0.06,0.01,0.03,0.0,0.36,0.01,0.0,real
294,0.14,0.02,0.21,0.0,0.0,0.0,0.0,1.34,0.1,0.35,0.04,0.04,0.03,0.0,0.34,0.05,0.0,real
295,0.14,0.02,0.22,0.0,0.0,0.0,0.0,1.37,0.1,0.36,0.05,0.07,0.05,0.0,0.31,0.05,0.0,real
296,0.1,0.02,0.26,0.0,0.0,0.0,0.0,1.4,0.09,0.43,0.06,0.09,0.09,0.0,0.19,0.05,0.0,real
297,0.15,0.0,0.36,0.0,0.0,0.0,0.0,1.5,0.06,0.57,0.1,0.05,0.09,0.0,0.14,0.0,0.01,real
298,0.18,0.0,0.31,0.0,0.0,0.0,0.0,1.41,0.07,0.45,0.11,0.05,0.04,0.0,0.24,0.02,0.01,real
299,0.13,0.0,0.12,0.0,0.0,0.0,0.0,1.25,0.12,0.09,0.07,0.05,0.0,0.0,0.4,0.05,0.0,real
